Date,StoreID,ProductID,QuantitySold,Revenue
2025-03-23,29,qF-1507,31,55.93
2024-09-05,87,tb-4978,,313.72
2025-03-08,45,,11,225.07
2024-12-17,57,wp-1207,23,321.0
2024-11-02,52,Gf-6175,3,313.83
2024-06-17,90,Sg-5442,,
2024-11-13,78,XS-5464,44,175.52
2024-06-13,69,tI-1966,3,322.97
2024-04-04,72,qo-5317,35,317.05
2025-03-02,97_err,pf-4039,28,288.29
,78,Ub-1380,45,495.16
,27,gP-4606,11_err,445.19
2024-05-21,56,Uf-1622,33,273.63
2024-08-27,36,MH-4504,35,127.16
2024-10-19,15,HM-2443,15,425.45
2025-03-14,91,ML-9814,33,27.99
2024-06-11_err,,Wb-9551,32,249.26
2024-10-23,37,ZF-0468,18,341.4
2024-05-13,92,TV-8933,24,391.99
2024-04-23,66,aU-1551,15,309.83
,23,Pn-4698,20,219.75
,79,HL-3240,14,
2024-10-15,75,,17,51.67
2024-08-30,86,wZ-7470,,172.98
2024-12-08,58,EC-9243,26,254.82
2024-06-14,55,pa-7721,24,21.08
2024-11-30,55,bi-0061,6,477.44
2024-11-19,43,di-1800,4,310.72
2024-04-16,68,QI-1846,12,188.9
2024-04-15,81,PY-3530,9,135.56
2025-02-18,84,,,176.15
2024-10-17,85,mE-4758,15,246.33
2024-11-27,3_err,,23,13.18
2024-09-17,33,kv-8599,26,328.9
2024-09-17,26,VP-2941,37,
2024-11-24,,In-4840,1,84.31
2024-07-23,54,kG-0097,8,315.9
2024-06-18,63,PR-7333,11,314.12
2025-03-29,32,Jl-0334,18,225.2
2025-03-10,55,Hr-1840,46,139.05
2024-12-23,81,vW-5184,29,268.21
2024-08-19,45,,9,125.05
2025-03-11,40,Uz-3880,50,301.68
2025-02-14,68,Yp-0333,38,48.12
2024-08-23,93,lk-4821,47,68.93
2024-08-03,85,JO-7064,9,102.32
2024-07-29,44_err,VW-6254,44_err,56.26
2024-10-25,10,pK-9882,18,
2024-07-07,91,oP-1674,22,470.65
2024-07-31,72,Vg-2530,18,178.38
2024-10-01,86,,19,343.72
2024-08-07,63,xh-4952,22,462.69
2025-01-25,22,cS-9374,41,297.98
2024-05-24,21,,,72.75
2025-01-04,51,db-3539,,180.4
2024-10-18_err,5,DH-7220,,418.74
2024-07-30,54,Gd-8388,40,409.1_err
,2,CP-5912,26,403.82
2024-08-19,97,Fa-0779,40,268.21
,88,um-9838,14,176.83
2024-04-03,73,Bg-2477_err,,213.45
2024-07-18,7,gY-0864,38,
,77,Br-8509,10,419.98
2024-12-10_err,32,Hs-7006,16,218.87
2025-03-01_err,95,Qy-3928,48,468.76
,90,on-6545,34,162.57
2024-04-26,72,lr-0641,39,352.72
,78,xL-0992,27,299.29
2024-07-28,87,Qp-5718,28,127.36
2024-08-05,60,Tf-1372,10,115.86
2024-07-15,96,Xr-4731,7_err,493.86
2025-03-27,3,JM-5442,31,469.75
2024-07-29,85,fq-7295,23,114.82
2025-02-22,91,kh-1852,10,373.69
2024-08-12,25,So-1749,14,496.22
2024-07-05,98,OM-1535,,254.75
2024-04-24,35,vu-2225,38_err,
2025-01-15,78,Kq-5714,30,20.13
2025-02-23,31,wU-1325,28,256.26
2024-04-20,36,Ha-4946,22,216.66
2025-02-01,93,eL-0167,45,71.44
2024-12-12,79,wR-4217,41,280.22
