Date,StoreID,ProductID,QuantitySold,Revenue
2025-01-03,23,aj-5005,3,266.04
2024-06-24,69,OG-6569,5,326.16
2025-01-22,15,tP-0965,19,47.23
2025-02-22_err,99,OR-2623,,333.22
2025-03-04,62,ID-0826,34,444.33
2024-04-23,40,en-9910,9,83.32
2024-05-17,75,ls-0980,6,45.78
2024-12-24,49,nt-9288,35,458.25
2025-01-23,3,KZ-9745,24_err,421.49
2024-07-25,21,nb-6003,26,
2024-12-24,41,YH-6434,26,400.76
2024-03-31,26,zs-5468,1,341.52
2024-08-26,63,tT-7142,,382.01
2024-07-20,,SF-5148,33,391.37
2024-06-25,55,ac-0506,4,36.48
2025-01-25,34,Ae-8771,24,449.85
2025-03-25,40,oN-6437,42,384.81
2025-03-27,30,XE-4782,25,319.7
2024-12-22,99,iS-9171_err,19,246.25
2024-04-08,,,47,161.23
2024-08-07,65,Xe-5047,12,461.53
2024-06-26,,XZ-8201,10,176.65
2024-05-26,51,wX-1095,49,332.8
2024-12-11,98,XE-1074,35,
2024-06-27,24,sR-1514,50,120.6
2024-04-09,,Wq-1843,16,263.22
2024-08-21,18,hb-9192_err,23,23.11
2024-05-17,48,jE-5016,12,223.57
2024-05-01,13,jS-8408,35,434.03
2025-03-19,93,,37,104.77
2024-07-08,57,aQ-1190,36,160.03
2024-09-04,90,BM-5935,45,348.87
2024-09-13,17,CR-7636,46,171.7
2024-05-24,7,,32,249.99
2024-12-01,19,wr-6491,38,345.5
,2,bb-6192,35,174.27
2024-12-13,47,Lr-2525,41,107.73
2025-01-13,63,Rp-5616,15,414.13
2024-05-27,7,Qf-0815_err,41,337.58
,34,vD-3804,1,85.75
2024-07-18,20,SW-9314,12,326.65
2025-03-20,4,UB-9331,11,81.86
,19,ie-4509,41,465.6
2024-05-06,5,hu-3040,50,36.03
2024-09-02,61,Jh-4906,28,75.45
2025-02-01,,WB-3438,41,
2025-02-03,62,Wc-0250,26,367.38
2024-11-11,99,sP-2359,15,377.41
2024-12-15_err,11,iU-2121,28,214.31
2025-03-14,,pu-8347,31,93.7
2024-11-24,100,mu-5293,47,121.82
2024-05-18,,Lh-9217,46_err,190.66
2024-07-22,85,AE-3484,,21.41
2025-03-16,1,Hj-4002,10,
2024-12-12_err,22_err,Sn-0763,49,341.18
2024-04-12,,cf-6376,35,22.07
2025-01-27,100,Cq-8684,1,269.17
2024-08-29,79,CT-8276,17,320.89
2024-04-16,69,SA-4642,1,106.37
2024-09-21,52,dt-5983,3,297.66
2024-08-01,73,Py-7289,13_err,200.95
2025-02-01,17,Bv-6953_err,,233.49
2024-08-26,38,nM-7308,21,144.12
2024-04-09_err,42,Hk-3275_err,1,423.56
2024-04-27,62,,34,30.93
2025-01-26,59,jD-3368,44,326.18
2024-05-14,69,Gy-8697,10,279.83
2024-05-07,74,WV-1666_err,7,332.63
2024-12-25,72,Hl-1020,27,448.68
2024-06-09,2,MD-1264,2,244.85
2025-01-17,77,sE-5047_err,47,136.57
2024-05-13,78,ts-3142,1,217.62
2024-11-20,2,zY-2620,3,488.82
2024-12-02,95,vs-8348,25,
2024-06-27,76,jF-6282,26,375.56
2024-10-01,,uJ-3615,27,474.54
,19,,17,478.51
2024-04-13,,if-6157,47,408.88
2025-01-08,69,vH-3414,23,
2025-03-15,45,GP-0127,25,437.39
2024-07-05,84,,18,70.74
2025-02-09,43,BH-7398,43,
2024-11-06,92,nQ-9442,34,52.57
2025-02-18,,WG-7061,42,89.5
2024-04-21,46,Zb-0681,48,431.1
2024-04-01,53,Hq-8228,32,472.25
2024-04-14,28,AM-2760,12,190.34_err
2024-04-01,70,,20,50.34
2025-01-13,99_err,is-9488_err,39,345.33
2024-10-31,53,ZQ-7391,24_err,343.36
2024-08-05,47,wK-7098,18,383.59
2024-07-03,80,pW-9377,15,
2024-06-01,14,LH-0715,24,332.94
,33,fl-8107,41,137.06
2025-02-11,7,We-1067,42,77.32
2024-08-04,17,ON-8974,26,464.28
2025-03-30,33_err,xv-6005,35,486.31
2025-03-31,24,gl-3432,49,368.86
2024-10-21,20,zh-9442,19,65.73
2024-04-19,83,ds-4511,47,162.55
2024-04-05,47,dJ-4466,48,51.09
2024-08-31,89,AN-9494,6,218.32
2024-10-20,73,ar-6181,41,255.11
2025-02-20,28,iy-4806,25,242.76_err
2025-02-01,23,vL-6074,33,88.48
2024-08-19,23,CU-1320,31,117.33_err
2024-09-21,,Wx-0557,37,412.97
2024-10-21,86,JU-8095,16,461.98
2024-06-20,6,Qk-9393,1,302.14
2024-12-08,63,xv-0642,27,440.0_err
2024-12-28,58,wz-8896,26,313.02
2024-08-16,,Ib-4027,31,150.11
2024-05-27,51,zE-7096_err,37,445.35
2024-06-04_err,100,,23,46.55
2025-01-26,36,Io-8843,42,130.03
2024-10-13,9,XE-8990,19,306.7
2024-05-19,90,Lt-9249,10,
2024-08-26,,EI-9430,19,116.93
2024-10-16,85,pJ-2261,37,267.04_err
2024-12-30,,Lh-9161,32,356.55
2024-06-10,65,jY-5881,19,224.89
2024-10-04,,wY-1977,,309.68
2024-10-28,31,au-4855,9,115.03_err
2024-06-22,51,Km-5726,34,42.78
2025-02-02,56,RA-2970,38,34.21
2024-08-22,1,iv-6135,16,189.24
2025-02-12,86,,18,11.47
2025-02-17,24,,33,352.61
2024-04-09,84,Sk-0417,41,83.79
,68,NK-0015,7,186.97
2024-08-09,33,LE-5742,,262.53
2024-07-23,24,DK-1716,9,440.81
2024-08-28,98,ll-4270,27,13.66
2025-02-11,20,oC-6419,39,481.67
2024-04-05,75,nO-7439,35,402.75
2025-01-30,2,,17,437.08
2025-01-03,43,Iv-5690,41,488.27
2024-11-28,,gK-0202,36,280.96
2024-09-04,60,Dj-1911,19,5.45
2024-09-07,93,kK-8501,2,97.46
,94,En-2943,40,456.74
2024-06-16,14,hu-2316,31,292.73
2024-04-16,,nQ-0281,35,176.82
2024-12-02,38,UA-3062,3,484.57
2025-03-01,61,TL-7588,25,11.51
2024-07-04,31,vw-5487_err,9,334.77
2025-01-28,75,Hw-2646,37,288.1
2024-12-19,65,FF-6981,14,145.53
2024-11-26,22,bO-7694,43,
2024-05-08,27,Xw-3364_err,40,198.4
2024-06-07,,FP-4583,32,66.54
,28,Yv-0008,7,93.0
2025-03-24,24,,29,193.79
2024-07-09,90,hQ-2846,35,191.51
2024-09-08,32,SH-0537,35_err,418.71
2024-12-20,8,FD-8066,29_err,410.3
2024-11-21,47,Qb-3375,28,63.69
2024-11-19,76,FD-4146,4,152.31
2024-08-14,1,WF-3685,6,364.58
2024-08-10,47,FI-0769,38,354.35
2024-07-02,75,kj-7375,39,24.31
2024-04-11,67,Tt-6759,46,
2024-09-29,34,nL-8027,11,78.38
2024-07-14,20,Bv-6943,39,341.48
2025-01-27,80,zf-9850,37,58.66
2025-03-09,65,LV-2508,15,178.04
2024-07-29,2,nl-9718,44,114.98_err
2024-08-07,14,Lr-7245,47,
2024-10-13,23,mP-7738,8,345.04
2024-07-24,43,,9,329.34
2024-03-31,43,iG-1439,18,387.97
2024-09-10,84,Tk-6534,50,122.19
