store_id,store_name,location,demographics
1,"Hunter, Chan and Adams",Andrewstad,opzns
2,Davenport Inc,Lake Frank,broln
3,"Stein, Benitez and Evans",Luisburgh,jjuqa
4,"Richardson, Vaughn and Wood",Aimeeview,nxjqy
5,Harris and Sons,New Michael,shzdc
6,"Smith, Sellers and Ferguson",West Jerry,btgpv
7,Guzman LLC,South Laurenville,owvwj
8,Hill and Sons,Muellerchester,soklm
9,Adams Group,North Thomas,qwxex
10,Lee PLC,Davidfort,bcxlk
11,"Montes, Harris and Castro",South Katherine,mvuta
12,"Larson, Sloan and Garza",Davidview,hgadx
13,Montgomery-Wright,West Ericburgh,ovunt
14,,New Kara,wqfsz
15,Johnson PLC,Marymouth,efqpi
16,Lam Group,New Michelle,fsxvu
17,Morales and Sons,North Kelly,gjkvj
18,Williams LLC,West Tracychester,
19,Meyer-Owens,Kevinmouth,gtmid
20,"Carroll, Rivera and Morris",Howardhaven,ufmln
21,Blair Group,Maldonadotown,djgcx
22,"Wright, Beck and Vega",West Edward,dffff
23,Price Group,New Jermaineburgh,otdll
24,Barrett-Russell,New Jennastad,gmyqz
25,Wagner LLC,South Victoria,iqtyh
26,Bates and Sons,East Danielburgh,gptgk
27,Johnston-Jones,Thomasport,gtycy
28,"Lawrence, Burton and Schultz",Port Brooke,kkifj
29,Boyer PLC,Sarahberg,lslak
30,Thompson-Smith,New Michael,jfhye
31,Kelly Ltd,Kathrynshire,uvcij
32,"Freeman, Brown and James",West Devintown,ysioi
33,"Williams, Clark and Taylor",Myersshire,tcbbl
34,Jenkins-Valencia,North Dawnville,mupmd
35,Osborne-White,Benjaminville,avikg
36,"Gould, Miranda and Paul",NULL,hkuzt
37,Williams-Williams,East Robertside,ugbho
38,Nunez and Sons,East Joseph,jpaae
39,Nguyen-Griffin,North Marie,csgyq
40,Wright LLC,South Amandaburgh,oiqfo
41,"Scott, Roth and Wilson",ERROR,sksmt
42,Schmidt-Brooks,South Sergio,jrgvy
43,"York, Coleman and Pennington",Paulaburgh,qcfpr
44,Holmes Inc,Shawnbury,gthew
45,Brown-Taylor,Esparzamouth,tavef
46,"Coleman, Arnold and Smith",Victormouth,epvih
47,"Leonard, Bowen and Jones",North Michelleside,itcqg
48,Martin-Brewer,Robertchester,ldgdh
49,"Johnson, Riley and Moore",Port Timothy,pzinh
50,Wilson Group,Churchstad,migxz
51,Parker Inc,South Crystalmouth,tsaiq
52,,,avoov
53,"Alvarado, Smith and Cooper",Johnsonshire,tljkp
54,Cook LLC,Zimmermanfort,zcqkh
55,Bentley Group,Joshuashire,icnpf
56,Hansen Group,South Kristenburgh,nwmij
57,Smith LLC,Lake Allisonmouth,kiunh
58,Herman Group,New Meredithborough,wfceq
59,Robinson Inc,Davidmouth,ights
60,Hampton-Reed,Greenborough,NULL
61,"Bradford, Mitchell and Larsen",South Rickyhaven,ulvxk
62,Rice-Roberts,South Markburgh,jlrhq
63,"Cooper, Pope and Oconnor",East Markbury,kojlf
64,"Marquez, Rodriguez and Velasquez",Scottton,dapov
65,Morris and Sons,Genehaven,doqoq
66,"Berry, Gonzalez and Cruz",Choimouth,dmbnu
67,"George, Hunter and Koch",Fernandezchester,
68,"Tyler, Murray and Chapman",,qctcp
69,Ray-Payne,North Erinmouth,kunkn
70,Barrett Inc,,tdeap
71,Torres Inc,East Kathryn,nadzt
72,"Hernandez, Lee and Hampton",Mooreland,afvzk
73,Clark Group,East Hollyland,xlwnv
74,"Price, Davidson and Smith",Brianfurt,moyfy
75,"Fisher, Williams and Jackson",Nancyburgh,xoxui
76,Evans-Hart,Robertburgh,gvofw
77,Ramirez and Sons,East Anna,dvkix
78,"Perry, Singleton and Davis",West Geraldstad,whggh
79,"Knight, Cohen and Tyler",Lake Martin,jtbwc
80,Le-Dawson,South Vincent,lpxps
81,Thompson-Martin,Ambermouth,egrwx
82,Lester and Sons,Tylerborough,zlupq
83,Bass Ltd,,dryfu
84,Best LLC,East Heidiview,zqdqx
85,Moody Ltd,Lake Tammy,xzrld
86,Young Inc,North Jasonton,dmevq
87,"Woods, Deleon and Phelps",Jenkinsland,cpsff
88,"Roman, Simmons and Costa",North Thomas,qnwve
89,Williams-Brown,North Timothybury,qfmnv
90,Floyd-Ward,Keithstad,ghzfj
91,West-Wright,Port Monicaburgh,kvjvh
92,NULL,East Markfort,lophi
93,Martinez-Hill,South Patriciahaven,fgxia
94,NULL,Brianafort,tuukj
95,Patton-Brooks,Russellfurt,bfgiq
96,"Salas, Mills and Smith",New Chelseachester,gszac
97,Jordan-Powell,Lake Marthaburgh,yqocp
98,Smith PLC,Millerton,oglxo
99,Morrison and Sons,,amuhz
100,Williams-Gates,Lake Coreyfort,iptjw
101,NULL,Justinview,fdbsn
102,Perez-Lewis,Robinmouth,ckmzi
103,Rodriguez and Sons,NULL,xutmk
104,Lopez-Sanchez,,
105,Baxter Group,South Davidside,ambco
106,"Shaffer, Johnson and Lopez",Port Brandon,rcikj
107,Ayala LLC,Harmonfurt,osrke
108,Ortiz Inc,New Jennifer,pxxlr
109,"Cunningham, Dixon and Koch",Lake Juan,uiaxp
110,"Phillips, Cantrell and Gibson",Shawside,lvomz
111,"Owens, Turner and Rodriguez",Harmontown,auipc
112,"Black, Marquez and Rodriguez",Jamesland,cyjcn
113,White-Townsend,Pamelaview,tewlg
114,Bryant-Dean,Snowshire,znkuf
115,Guerra-Miller,Michaelstad,jfysq
116,Wilson PLC,Patelhaven,cqaej
117,Ramirez Inc,Ryanhaven,jecbc
118,Foster Group,Derrickburgh,mwqge
119,Villa Ltd,East Aaron,fxkvn
120,Brown-Hernandez,East Seth,ygxtb
121,Henderson LLC,Lake Charleston,lhdud
122,"Roberts, Bradley and Hill",West Jasmineland,oahtq
123,Jones Group,,
124,"Whitaker, Warner and Myers",South Ryanburgh,yszuh
125,Schmidt Group,Comptonshire,ERROR
126,Hendrix-Williams,Pamelafort,mbfxl
127,Robbins LLC,Jessicaview,dwooh
128,Neal Inc,Johnsonfort,nkisp
129,Garcia-Russo,Spencerville,ilgmu
130,"Holland, Coffey and Cox",Mirandaburgh,aaqsq
131,"Smith, Graham and Thompson",Victorborough,pneon
132,Taylor-Howell,South Mariahfort,cevvh
133,Moss PLC,Jonathanview,dtpzb
134,Davis-Thomas,North Matthewfort,qfxrn
135,"Alexander, Rodriguez and Miller",Derrickberg,snefr
136,"Brown, Wilson and Mcfarland",North Dustinmouth,hnhad
137,Howell-Goodwin,Dodsonshire,svjlf
138,Frazier PLC,Roseshire,qzang
139,Blanchard PLC,East Jeffrey,psdyf
140,Mckinney and Sons,Kristinbury,tjhbl
141,"Everett, Delgado and Mcgee",Chrisborough,dvvgz
142,Snyder Ltd,Frazierchester,ERROR
143,"Ellis, Smith and Ali",Port Richardview,jvpxi
144,Andrews and Sons,Brandonview,djvak
145,,New Meganfort,hhwth
146,ERROR,Lake Johnside,bketk
147,Kennedy-Hebert,Kelseytown,bmfsl
148,"James, Sanders and Rangel",Underwoodtown,yjlfb
149,Hernandez Inc,ERROR,qqchj
150,"Lowe, Bailey and Barrett",,ufopu
151,"Perez, Harris and Jones",Edwardsview,bpmig
152,"Meza, Huffman and Parker",South Johnborough,kodrw
153,ERROR,South Nicholasfort,gkwxi
154,"Cisneros, Freeman and Harris",West Martha,fadsi
155,"Harris, Fox and Anderson",South Joshuaburgh,kmiay
156,"Soto, Dennis and Johnson",Youngchester,xrvky
157,Osborne-Brown,North Lauren,lqzoz
158,ERROR,North Kathleen,iduid
159,Edwards-Hubbard,East Suzanne,wyzzr
160,Ramos Ltd,East Jessica,jjlym
161,Smith-Moore,New Jason,xyorz
162,Smith Inc,New Oscarport,qqszs
163,Zamora-Cunningham,Alvarezbury,twmam
164,"Miller, Graham and Jimenez",Port Thomas,gjnct
165,Parker-Wall,Loganmouth,giwwl
166,"Ochoa, Burnett and Thornton",Port Carlyburgh,erqjp
167,"Bradley, Murray and Miller",,mesgn
168,"Lamb, Carter and Terrell",West Dawnland,klxei
169,Mueller-Bryant,Port Michaelborough,iecwj
170,Oliver and Sons,Leslietown,
171,"Smith, Buchanan and Hicks",West Paula,lrdob
172,Willis LLC,East Nicole,egpjb
173,Williamson Inc,Jeremyborough,NULL
174,"Petty, Rodriguez and Brown",East David,bucij
175,"Lopez, Davis and Peterson",New Dennis,lxhuk
176,Valdez-Lee,Tracyton,vzdyf
177,"Campbell, Williams and Cruz",Reedside,byfuz
178,"Dickson, Gamble and Munoz",Lake Sarah,rfobz
179,Gonzalez Inc,Chelseahaven,pslpg
180,NULL,South Elizabeth,bgwlp
181,Leonard-Petersen,Joneshaven,pmmyp
182,Cole LLC,,jgcuh
183,Dunn and Sons,Lake Isaacberg,djiyz
184,"Gonzalez, Collins and Henry",South Rachelberg,jwogf
185,"Lopez, Miller and Vang",Port Jake,eoypp
186,Reyes-Jordan,Coreymouth,kcucm
187,"Suarez, Walker and Hoover",Richardside,hmemr
188,"Ayala, Hanson and Stanley",West Joshualand,
189,Adams and Sons,Judyland,fobko
190,Pineda and Sons,Brianborough,iutqb
191,ERROR,Melissamouth,zyytr
192,NULL,Lake Kimberlyhaven,cmuec
193,ERROR,Marksside,islvi
194,Steele-Woods,Smithstad,
195,Howell PLC,East Amanda,saunn
196,"Williams, White and Church",Peterberg,dvyiy
197,"Sawyer, Smith and Castillo",Spencefurt,wegpq
198,Davis-Ramos,Port Ryanfurt,ERROR
199,Brock Group,Peterland,gxyja
200,"Payne, Norton and Rocha",Danielville,huyyi
201,Wood-Booth,Moralestown,ntera
202,"Anderson, Hill and Wood",Lake Emilyshire,tsaxv
203,Huerta Group,New Sydneymouth,zzbwg
204,,Port Joe,bxfpx
205,"Stone, Randolph and Washington",,wtiyo
206,Stokes-Stout,Lake Kathy,jvobu
207,Miller-Ellison,West Amanda,vkvfw
208,"Cantrell, Adams and Anderson",Port Kathleen,ghvip
209,"Rodriguez, Miller and Stone",West Breanna,pccss
210,Green-Cunningham,North Wanda,yanzr
211,Watson Inc,Melodychester,puxle
212,Byrd-Johnson,Carlport,qykkr
213,Young-Barton,Lake Laura,vriye
214,Moreno-Flores,West Thomasfurt,ikefu
215,"Marshall, Robinson and Goodwin",West Kellymouth,
216,Cowan and Sons,East Rebeccatown,vqbxn
217,,South Jessicaville,qfwqu
218,Brown-Anderson,East Connie,vvpny
219,"Flores, Rogers and Chambers",North Michelleberg,rbcwm
220,"Jennings, Thomas and Nelson",Grahambury,aphwi
221,Mclaughlin-Parrish,New Samanthaton,rzobu
222,Vargas-Murphy,Jacksonside,qxsjw
223,Wilson PLC,,paoeg
224,Mora and Sons,Port Marychester,ixktz
225,"Gilmore, Benson and Newton",Brownfurt,
226,Anderson-Shelton,Port Seth,keeak
227,White and Sons,Knightmouth,yjnvt
228,"Lawrence, Herrera and Le",Burtonbury,ozlka
229,Murphy-Orr,,ixzdo
230,Green Inc,West Juan,tvkjt
231,Lara PLC,North Michaelborough,ocrtg
232,Olson LLC,Lake John,jkzjh
233,NULL,Lake Michelletown,mabne
234,"Haynes, Rodriguez and Mcintyre",Roblesport,rivxs
235,Ramirez Inc,Port Brittneyport,svsgf
236,Diaz Ltd,North Loriview,soppw
237,Kelly and Sons,North Meredith,qozrs
238,Saunders LLC,East Christophershire,nfber
239,"Wilkinson, Vasquez and Flynn",North Kellyshire,spkwb
240,,Mariaville,vbegz
241,Brown PLC,Bautistafort,gosdi
242,Martinez-Mitchell,Wardstad,wnmaf
243,Griffin-Rodriguez,Lake Jillberg,rajxb
244,Schaefer-Carter,West Rachaelburgh,csmon
245,Reed Group,Casetown,NULL
246,Shepherd Ltd,Port Pamela,vpzet
247,Durham LLC,Annabury,ERROR
248,"Cowan, Collins and Hoffman",East Stevenfort,ixubb
249,Small-Morrow,Evansstad,ecysg
250,"Collins, Oneill and Blackwell",New Shannonview,kgbyk
251,ERROR,South Kimberly,lihkt
252,Conner-Jarvis,Kristashire,cbbdz
253,Wright-Ball,Powellchester,
254,Perez PLC,NULL,phjsg
255,Hernandez-Page,Mathewsfort,ogxpv
256,Moore Inc,South Jamesstad,ylspv
257,Thompson-Wilson,,jzdgr
258,Curry-Young,Martinezbury,oycjz
259,,South Kristaville,coksn
260,Marshall PLC,North David,
261,Patel-Flores,ERROR,wtxwc
262,Hughes-Schneider,Lake Josephside,wshlw
263,"Martinez, Jones and Foster",Terryfort,hkqol
264,"Coleman, Carroll and Murphy",East Guy,cyyib
265,Marshall-Kane,Donnamouth,szrmw
266,"Duncan, Ray and Taylor",Lake Adammouth,wfdyv
267,"Delacruz, Martinez and Reynolds",Crossfurt,dwxbq
268,Carr-Leon,Welchmouth,zzeht
269,NULL,West Matthewberg,zoizx
270,"Norton, Smith and Anderson",Berrymouth,wfplq
271,"Christian, Gordon and Martinez",East Alyssaberg,ftxth
272,"Conley, Avery and Gomez",ERROR,tupha
273,NULL,Carmenmouth,fjqsa
274,"Patel, Jensen and Reynolds",Lake Jessica,mulqw
275,Griffin PLC,Crystalview,njbbs
276,"Carpenter, Simpson and Ramirez",Rothport,lzxwx
277,Wade-Glenn,North Anitaborough,ccnke
278,"Hunter, Thomas and Booker",Turnerchester,sqxup
279,Lopez Group,Port Chad,svhiz
280,"Thompson, Warren and Cox",Hernandezhaven,evlws
281,Ballard and Sons,Westton,
282,,New Timothy,xsvmw
283,Long LLC,Port Lindaside,jcsry
284,"Lane, Copeland and Taylor",Lake Anthony,rlhwm
285,Cook-Smith,Jenniferville,NULL
286,Castro and Sons,Mcdowellburgh,vvhih
287,"Costa, Walker and Smith",Deborahfurt,ERROR
288,"Irwin, King and Santos",Port Jim,rwhao
289,Logan-Peck,Pittmanstad,NULL
290,,Farrellport,rptjk
291,Garrett Ltd,Villarrealtown,kktep
292,Garcia Inc,Harrisland,gqubx
293,Olson-Robbins,Port Joshuaburgh,
294,"Higgins, Barber and Mcdonald",Matthewton,ykiyk
295,"Taylor, Austin and Alvarez",Arnoldport,NULL
296,Pope-Moran,ERROR,iackr
297,Williams Group,NULL,stpbv
298,ERROR,South Calvinland,NULL
